,id,steps,ingredients
0,96313,"['i a sauce pan, bring water to a boil; slowly add grits and salt, stirring constantly; reduce heat:simmer, uncovered, for 40-45 minutes or untill thickened, stirrin occasionally', 'add cheese and garlic; stir until cheese is melted, spray 9-inch baking dish with nonstick cooking spray; cover and refrigerate for 2 to 2 1/2 hours or until frim', 'before starting the grill, coat the grill rack with nonstick cooking spray; cut the grits into 3-inch squares; brush both sides with olive oil', 'grill, covered, over medium heat for 4 to 6 minutes on each side or until lightly browned']","['water', 'grits', 'salt', 'cheddar cheese', 'garlic', 'olive oil']"
1,232037,"['in a food processor, pulse the onion, red pepper and garlic until chopped very fine, ten to twelve 1-second pulses, scraping down the sides of the bowl as necessary; set aside', 'season the shrimp with salt and hot pepper sauce to taste', 'heat the oil in a large dutch oven over medium high heat until shimmering', 'add the shrimp in a single layer and cook, without stirring, for 30 seconds', 'using tongs, flip the shrimp and cook for another 30 seconds', 'transfer the shrimp to a medium bowl and set aside', 'add the sausage to the pan and cook, stirring occasionally, until lightly browned, about 3 minutes', 'using a slotted spoon, transfer the sausage to a second bowl', 'scrape the veggies from the food processor into the empty pot and cook, stirring frequently, until softened, about 3 minutes', 'stir in the rice and continue to stir until the grains are coated with the fat, about 1 minute', 'add the bay leaves, tomatoes, clam juice, and 1 cup water and bring to a boil', 'stir in the sausage, cover, and reduce the heat to low', 'cook until the rice is tender, 17 to 20 minutes', 'off the heat, stir in the shrimp and parsley with a fork (do not mush the rice), cover the pot, and allow to sit for 2 minutes or until the shrimp is heated through', 'discard the bay leaves and adjust the seasoning with salt and hot pepper sauce to taste', 'serve immediately']","['onion', 'red bell pepper', 'garlic cloves', 'large shrimp', 'salt', 'hot pepper sauce', 'vegetable oil', 'andouille sausage', 'long grain rice', 'bay leaves', 'diced tomatoes', 'clam juice', 'fresh parsley']"
2,41090,"['in a large bowl, combine beans, tomato, onion and celery', 'gently stir in vinegar and sprinkle with parsley; season to taste and serve']","['white beans', 'canned black beans', 'tomatoes', 'onion', 'celery', 'white wine vinegar', 'italian parsley', 'table salt', 'black pepper', 'olive oil']"
3,60656,['put all ingredients in the crock pot and cook on low for 6-8 hours'],"['zucchini', 'yellow squash', 'diced tomatoes', 'onion', 'garlic', 'green bell pepper', 'italian seasoning', 'water', 'salt and pepper']"
4,232047,"['preheat oven to 350°f', 'cut beef into 1 inch cubes', 'combine flour, salt, allspice, cinnamon and pepper in a plastic bag', 'add beef cubes to bag and shake, coating pieces evenly', 'spray a heavy nonstick skillet with nonstick vegetable spray and heat over medium high heat', 'add 1/3 of the beef cubes and cook until browned on all sides, stirring frequently (about 5 minutes)', ""don't crowd the skillet"", 'transfer meat to a heavy dutch oven', 'repeat with remaining meat in two more batches, ending with all of the browned meat in the dutch oven', 'reduce heat to medium', 'add oil to skillet', 'add onions and cherries', 'cook over medium heat until onions are soft and light brown, about 10 minutes (you are basically making caramelized onions)', 'stir frequently, scraping up all the browned bits from the meat and incorporating into the onions', 'mix in the sugar, vinegar and water', 'increase heat to medium high and cook until onions brown, stirring frequently, about 5 minutes', 'add onion mixture to the beef in the dutch oven', 'mix in wine, stock and mushrooms', 'cover and bake until the beef is tender, about 2 hours', 'uncover stew during last 30 minutes of baking if the liquid is still too thin', 'add a small amount of beef stock or red wine is it is too dry', 'serve with rice or noodles to sop up the great sauce', 'can be made ahead and reheated before serving']","['beef stew meat', 'flour', 'salt', 'allspice', 'cinnamon', 'black pepper', 'vegetable oil', 'onions', 'dried sour cherries', 'sugar', 'water', 'dry red wine', 'beef stock', 'mushroom']"
5,232050,"['preheat oven to 375°f  place almonds in single layer in a 15 x 10 jelly roll pan', 'bake 6-9 minutes, or until golden brown', '(watch carefully after 5 minutes, the nuts go from golden to scorched in no time)', 'remove from oven and place nuts on a plate to cool', 'set aside', 'while the almonds cool, mix the salt, cumin coriander, cayenne and 1 t', 'sugar in a small bowl', 'in a heavy 3 quart saucepan, heat vinegar and 2 cups sugar to boiling over medium heat', 'continue to cook over medium heat until the mixture is a light to medium amber color, stirring occasionally', 'this will probably take between 10 and 15 minutes, depending on your stove and how heavy the pan is', 'while the sugar is cooking, spray the jelly roll pan with nonstick cooking spray', 'place the jelly roll pan on a trivet or cooling rack', 'keep the cooking spray out and have two forks ready for spreading the hot candy in the pan', 'when the sugar mixture is the right color, remove from heat', 'stir spice mixture into sugar', 'add the almonds and stir to coat evenly', 'work fast- this sets up quickly', 'immediately pour the mixture onto the prepared pan', 'spray the forks with cooking spray and use them to spread the almond mixture into roughly a single layer in the pan', 'cool brittle completely on jelly roll pan on a wire rack', 'with hands, break brittle into small pieces', 'store in tightly covered jar or tin for up to two weeks']","['slivered almonds', 'cider vinegar', 'sugar', 'sugar', 'salt', 'ground cumin', 'ground coriander', 'cayenne pepper']"
6,232076,"['in large bowl, combine chicken, green onion, bell pepper, and parsley', 'in small bowl, whisk together mayonnaise, sour cream, lemon juice, dijon mustard, salt, &amp; pepper', 'stir mayonnaise mixture into chicken mixture; mix well', 'pour into an 11x7 dish', 'top with cheese &amp; potato chips', 'bake 15 minutes, until bubbly']","['chicken breasts', 'green onion', 'red bell pepper', 'parsley', 'mayonnaise', 'sour cream', 'lemon juice', 'dijon mustard', 'salt %26 pepper', 'cheddar cheese', 'potato chips']"
7,232083,"['beat the eggs in a bowl', 'add the milk, sage, thyme, garlic, pecorino and season with cracked black pepper', 'lay the asparagus lengthways in a pan with just enough salted boiling water to cover the spears', 'cook for 2 minutes until they are tender but still crisp', 'heat a large non stick flat pan with a little olive oil', 'pour a ladle of the egg mixture into the pan and roll the pan around until the egg is thinly layered over the base and it is cooked on one side', 'reduce the heat and flip to cook the egg on the other side', 'repeat until all the egg mixture is used up', 'fill the crepes with asparagus and serve with an extra sprinkle of grated pecorino', 'note: to prepare asparagus take the tender stalk in both hands; gently hold the spear end of the stalk with one hand while you snap the bottom end off with the other hand', 'then trim the broken end with a sharp knife and the asparagus is ready to cook']","['eggs', 'milk', 'fresh sage', 'fresh thyme', 'garlic cloves', 'pecorino cheese', 'asparagus', 'extra virgin olive oil']"
8,79222,"['saute onion&amp; garlic in melted butter in large sauce pan for 4 minutes', 'add potato and saute 1 minute', 'sprinkle in flour, cook for 1 minute stirring constantly', 'add milk, pepper, nutmeg, corn and broth', 'bring to a simmer over med heat stirring frequently', 'cover and reduce heat to low for a 20 minute simmer', 'stir in crab meat and parsley, cook 5 minutes', 'serve or pour into crock pot on low or warm']","['butter', 'onion', 'garlic', 'potatoes', 'flour', 'milk', 'black pepper', 'nutmeg', 'creamed corn', 'low sodium chicken broth', 'lump crabmeat', 'cayenne pepper', 'parsley']"
9,393638,"['brown ground beef  with onion powder in a frying pan, drain any grease', 'mix all other ingredients together and stir into browned beef', 'simmer for about 20 minutes', 'serve on soft rolls or hamburger buns']","['lean ground beef', 'ketchup', 'heinz chili sauce', 'white vinegar', 'sugar', 'prepared yellow mustard', 'onion powder']"
