,recipeID,instructions,ingredients_no_quantities
0,1,"['add all the ingredients for the sauces into a bowl', 'grate in the ginger and garlic and mix well', 'slice your chicken into long strips and place in a large mixing bowl', 'whisk the two eggs and set aside', 'to make 2 bowls of flour mix, add 60g corn flour, 20g plain flour, ½ tsp baking soda to each mixing bowl', 'season both bowls of flour with a pinch of salt and pepper and a tsp of garlic powder and onion salt', 'now add the first bowl of flour mix to your chicken thigh strips and mix well', 'pour the whisked eggs into the bowl of chicken', 'then, one at a time, dredge a single chicken thigh strip into the second bowl of flour mix', 'once they’ve all been coated, set aside', 'heat the oil into a deep wok or pot until it reaches 180°c', 'fry the chicken in small batches (making sure to shake off any excess flour before placing in the oil) until they float to the top, this will take a few mins', 'then place them on a paper-lined rack lined as this will help absorb any excess oil', 'you want the chicken to be super crispy so pop them back into the oil for a few mins again for the second round of deep-frying', 'set aside your chicken in a deep bowl', 'on medium heat, pour the sauce into a separate pot and cook for just a few mins until the sauce thickens a little', 'pour most of the sauce (set aside two tablespoons) onto the chicken and toss well', 'mix the remaining 2 tbsps of sauce with some mayo', 'garnish the chicken with toasted sesame seeds and sliced spring onions and enjoy with your sweet and spicy gochujang mayo.']","['gochujang base', 'ketchup', 'maple syrup', 'soy sauce', 'seasoned rice wine vinegar', 'sugar', 'sesame oil', 'water', 'ginger', 'garlic', 'chicken thigh', 'eggs', 'corn flour', 'flour', 'soda', 'garlic powder', 'onion salt', 'spring onion', 'white', 'sesame seeds', 'mayonnaise', 'salt', 'pepper', 'vegetable oil']"
1,2,"['start by trimming any woody ends from the asparagus and set aside', 'i also like to peel the bottom 3 inches or so from the stem, but you don’t have to', 'to make brown butter, melt the butter in a small saucepan over a medium heat', 'it will bubble for a few minutes, then once the bubbles have died down, you’ll see the milk solids sinking to the bottom of the pan and turning brown as they caramelise', 'as soon as the mix starts to turn a light brown colour, turn the heat right down, and remove from the heat just before it reaches a hazelnut brown colour', 'grab a heatproof bowl that will fit over a small pan', 'add the egg yolks, white wine vinegar and a pinch of salt and whisk to combine', 'fill the pan with water and bring to a simmer, then place the bowl on top (make sure it’s not touching the water)', 'whisk the mixture and as it warms it will thicken, this will take 3 or 4 mins', 'now slowly pour in the melted butter, whisking to emulsify and remove from the heat', 'taste and add salt and more vinegar if needed', 'set aside somewhere warm', 'put the bread into the toaster, meanwhile, cook the asparagus', 'bring a large pan of salted water to a boil', 'add the asparagus and cook for 2 or 3 mins until tender', 'remove and set aside', 'spread the toast with butter and top with the asparagus', 'to poach the eggs, turn the heat right down on the water, stir well to create a whirlpool and crack in the eggs', 'allow to cook for about 3 mins until the white are set', 'remove with a slotted spoon and place on top of the asparagus', 'if you need to, warm up the hollandaise again by placing the bowl back over the pan of hot water and whisking', 'pour the hollandaise over the asparagus and eat straight away.']","['asparagus', 'butter', 'egg', 'sourdough', 'wine vinegar', 'eggs', 'salt']"
2,3,"['preheat the oven to 180°c fan', 'wash the potatoes, keeping the skin on', 'slice the leeks thinly, then wash them well', 'mince three of your garlic cloves', 'slice the potatoes thinly on a mandolin or with a knife', 'heat a saucepan on medium with a good glug of olive oil', 'add the leeks and garlic and sauté until the leeks have softened slightly', 'add the potatoes and sauté until they are soft and almost cooked through fully, about 8-10 mins, stirring often', 'meanwhile, mix the milk with the oat fraiche and grate a pinch of nutmeg into it', 'use a whisk to mix it together well', 'once the potatoes are soft, turn off the heat and add this to the saucepan and mix well, making sure the potatoes and leeks are fully covered', 'set aside', 'lay out your puff pastry and score the edges about 1.5cm from the edge along each side', ""make sure you don't cut all the way through to the bottom"", 'poke the inner square many times with a fork and brush the frame with a little milk.* bake for 5 mins', 'take the tart out and lay the potato mix evenly into the inner square', 'grind plenty of fresh pepper onto the top and a sprinkle of salt', 'bake for 30-35 mins until the potatoes are starting to crisp up and brown on top and the pastry is golden brown', 'while your pastry is cooking, make the pesto', 'roughly chop the rocket (save a few leaves for the topping) and one garlic clove and add these to a food processor with 60ml of olive oil, 80g pine nuts and the juice and zest of half a lemon', 'if you have nutritional yeast, you could add a teaspoon here for a cheesy taste', 'pulse until you have a chunky texture and season generously with salt and pepper', 'roughly chop the chicory, mix in a bowl with a little olive oil and lemon', 'to serve, scatter the chicory and a few rocket leaves over the tart, then spoon on the pesto generously.']","['puff pastry', 'potatoes', 'leeks', 'garlic', 'oat fraiche', 'milk', 'nutmeg', 'nutmeg', 'rocket', 'lemon', 'virgin olive oil', 'pine nuts', 'chicory']"
3,4,"['finely chop the bacon, spring onions, chilli, carrot and watercress', 'add this into a bowl along with the minced pork', 'grate in the garlic and ginger, and mix in eggs, cornflour, soy sauce, fish sauce', 'mix the filling very well so it is evenly coated', 'preheat the oven to 230°c', 'fill a bowl with water and dunk the rice paper into the water only for 1 second', 'put onto your chopping board, after 30 seconds the paper will have hydrated and will be ready to use', 'if you oversoak then it will become too soft to handle', 'add two tbsp of the pork filling onto the paper', 'wrap up the spring roll, it should stick to itself easily and then put to the side', 'continue with the rest of the rolls, be careful not to place them next to each other otherwise they will stick', 'get a small bowl and fill it with vegetable oil', 'dunk the rolls into the oil and then place them directly onto your baking tray (this helps them get super crispy in the oven without having to deep fry!', 'bake for 12 mins, turning half way through', 'place onto your serving plate and serve with sweet chilli sauce.']","['streaky bacon', 'spring onions', 'chilli', 'carrot', 'watercress', 'minced pork', 'garlic', 'ginger', 'eggs', 'cornflour', 'soy sauce', 'fish sauce', 'rice paper', 'salt', 'vegetable oil', 'chilli sauce']"
4,5,"['preheat the oven to 200°c', 'line a baking tray with parchment paper and lay out the pork belly slices on top', 'season with salt and pepper and bake for 30-35 mins until crispy and golden brown, flipping halfway through', 'meanwhile, add the maple syrup, 2 tbsp vinegar and black pepper to a small saucepan and bring to a boil, cook for 2-3 mins until slightly reduced', 'add the salad potatoes to a medium saucepan and cover with cold water', 'season with salt and bring to a bare simmer', 'cook for 13-15 mins until tender', 'drain and allow to steam dry', 'mix the wholegrain mustard with the mayo and remaining vinegar', 'cut the apple into matchsticks and finely slice the spring onions and celery', 'mix the mustard mayo through the cooked potatoes with the spring onions, apple and celery', 'roughly chop the parsley and add to the potato salad', 'after the pork has had 35 mins, brush with the maple glaze and pop back in the oven for 5-10 mins, brushing with more glaze now and then, until golden and caramelised', 'divide the salad between warm plates and top with a couple of slices of pork, drizzle over any extra glaze and get stuck in.']","['pork belly', 'maple syrup', 'cider vinegar', 'pepper', 'charlotte potato', 'wholegrain mustard', 'mayonnaise', 'spring onions', 'apple', 'parsley', 'salt', 'pepper']"
5,6,"['peel the garlic cloves', 'you want to keep them whole so don’t smash them!\npeel the lemon rinds into long strips and halve and deseed the red chillies', 'pop the garlic cloves, lemon rind and deseeded chillies in a small saucepan and cover with 750ml olive oil, or enough to cover', 'heat the saucepan over low heat and cook gently for 30 mins or until the garlic is soft', 'you want the oil to barely be simmering', 'if it starts to bubble, remove the pan from the heat to cool a little then pop it back onto the stove to continue cooking', 'strain the oil into a bowl', 'this oil is liquid gold - store it in a jar and use it on/in everything!\ncook the orzo in plenty of boiling salted water until al dente, reserving some of the cooking water for later', 'meanwhile, thinly slice the chillies and grate the parmesan', 'place both in a bowl with the garlic and season well with salt and pepper', 'mash into a paste', 'add a ladleful of the orzo cooking water to the cheesy confit garlic paste and mix to loosen', 'drain the orzo and return it to the pot', 'add the cheesy confit garlic paste and another splash of orzo cooking water and toss', 'toss until a luscious sauce forms and the orzo is nicely coated in it, adding more pasta water as needed', 'to serve, top with a sprinkle of parmesan and the confit lemon pieces - enjoy!']","['garlic', 'lemon', 'chillies', 'orzo', 'parmesan', 'salt', 'pepper', 'olive oil']"
6,7,"['bring a pot of salted water to boil then add your udon and cook according to packet instructions', 'drain your udon, keeping the noodle water', 'pop your eggs into another pot of boiling water and cook for 6 ½ mins to get perfect jammy eggs', 'once boiled, pop them into an ice-cold water both to stop them from cooking', 'mince your garlic and finely slice your shallot', 'on medium-low heat, melt the butter in a pan, continuously stirring and when it starts to smell nutty, add the garlic and shallot', 'lower the heat then add your miso paste', 'loosen the mix up with a splash of noodle water', 'then add your udon to the sauce and season well with salt and pepper', 'squeeze in half a lemon', 'stir your noodles gently you get a thick, glossy sauce and give it a good shake in the pan', 'peel your eggs', 'grate over parmesan and lemon zest', 'serve with your perfect jammy eggs and nori, and tuck in.']","['udon', 'eggs', 'garlic', 'banana shallots', 'butter', 'miso', 'lemon', 'parmesan', 'nori', 'salt', 'pepper']"
7,8,"['chop your chicken breasts into large chunks', 'pop them in a bowl with 150g of your yoghurt, 1 tsp of your ground cardamom and a big pinch of salt', 'give it a good mix, then pop in the fridge to marinate for a couple of hours', 'peel and slice your onion', 'grate your garlic and ginger', 'heat a glug of oil in a large pan over a medium heat', 'add your cinnamon stick and onions to the pan, then fry for 10 mins until soft and starting to caramelise', 'add your garlic and ginger and cook out for 2 mins before adding your remaining cardamom, ground cumin, ground coriander, turmeric, chilli powder and tomato purée', 'cook for a minute longer until fragrant', 'turn the heat right down', 'tip your yoghurt, ground almonds, 300ml water and your chicken along with its marinade into the pan and bring to a gentle simmer', 'add a good pinch of salt and pop the lid on – simmer for 20 mins', 'meanwhile, toast your flaked almonds for a couple of mins in a dry frying pan until golden and fragrant', 'chop your coriander', 'once your cooking time is up, add your mango chutney to the korma and season to taste with salt', 'serving time', 'spoon your chicken korma over rice and sprinkle with your coriander and flaked almonds', 'serve with rice or naan.']","['chicken breasts', 'yoghurt', 'cardamom', 'onion', 'garlic', 'ginger', 'cinnamon', 'cumin', 'coriander', 'turmeric', 'tomato puree', 'chilli powder', 'almonds', 'flaked almonds', 'mango chutney', 'coriander', 'salt', 'vegetable oil']"
8,9,"['finely slice your spring onions, separating the whites to the greens', 'mince your ginger and garlic', 'grind your sichuan peppercorns in a pestle and mortar', 'cut your tofu into small cubes', 'bring a pot of salted water to boil, add your tofu then bring to a simmer for 2 mins, then set aside (make sure it doesn’t fall apart)', 'add 2 tbsps of veg oil into your wok then add your ground peppercorns', 'fry for 30 seconds until crispy then set aside', 'in the same wok, add your pork mince, sugar, chilli bean sauce and sichuan peppercorns', 'fry for a few mins until the colour of the meat darkens', 'then add your garlic, ginger, the whites of the spring onions, shaoxing wine, soy sauce and chicken stock', 'bring to a boil for 10 mins', 'then, mix your cornstarch with 100ml water and add to your wok and give it a good stir', 'add chilli oil, spring onion greens and sesame oil and give it a good mix', 'then gently add in your tofu and bring, put a lid on and bring to simmer for 3 mins', 'plate up and serve with your fluffy rice.']","['grain rice', 'spring onions', 'ginger', 'garlic', 'sichuan pepper', 'tofu', 'pork mince', 'sugar', 'chilli bean sauce', 'shaoxing wine', 'soy sauce', 'chicken stock', 'cornflour', 'chilli oil', 'sesame oil', 'salt', 'vegetable oil']"
9,10,"['preheat your oven to 130°c', 'halve the bulbs of garlic through the middle and place into a small saucepan', 'fill with oil until submerged and then place into the oven for 1 hour', ""meanwhile, toast the sourdough and spread with a generous layer of goat's cheese"", 'finely slice the chives and sprinkle over, along with a pinch of salt and some black pepper', 'once the garlic is cooked, remove from the oven and allow to cool for about 10 mins', 'remove and squeeze over the toast, then spread', 'sprinkle with a pinch of salt, drizzle over the honey and enjoy.']","['garlic', 'sourdough', 'goat cheese', 'chives', 'sunflower oil', 'honey', 'salt', 'pepper']"
