id,ingredients,ingredients_raw_str
96313,"['water', 'grits', 'salt', 'cheddar cheese', 'garlic', 'olive oil']","['4 cup water', '1 cup uncooked old fashion grits', '1 teaspoon salt', '4 ounce shredded cheddar cheese', '1 -2 clove garlic, minced ', '1 tablespoon olive oil']"
232037,"['onion', 'red bell pepper', 'garlic cloves', 'large shrimp', 'salt', 'hot pepper sauce', 'vegetable oil', 'andouille sausage', 'long grain rice', 'bay leaves', 'diced tomatoes', 'clam juice', 'fresh parsley']","['1 medium onion, chopped coarse ', '1 medium red bell pepper, chopped coarse ', '5 medium garlic cloves, chopped coarse ', '1 lb extra large shrimp, shelled and deveined ', ' salt', ' hot pepper sauce', '1 tablespoon vegetable oil', '3/4 lb andouille sausage, halved lengthwise and then cut into 1/4 inch slice ', '1 1/2 cup long grain rice', '4 bay leaves', '1 can diced tomatoes, briefly drained ', '2 bottle clam juice', '1/4 cup fresh parsley, chopped ']"
41090,"['white beans', 'canned black beans', 'tomatoes', 'onion', 'celery', 'white wine vinegar', 'italian parsley', 'table salt', 'black pepper', 'olive oil']","['1 cup canned white beans, rinsed and drained ', '1 cup canned black beans, rinsed and drained ', '1 large tomatoes, diced ', '1 small onion, diced ', '1 stalk celery, diced ', '1 tablespoon white wine vinegar', '2 tablespoon italian parsley, minced ', '1/8 teaspoon table salt, to taste ', '1/8 teaspoon black pepper, to taste ', '1 -2 teaspoon olive oil, to taste ']"
60656,"['zucchini', 'yellow squash', 'diced tomatoes', 'onion', 'garlic', 'green bell pepper', 'italian seasoning', 'water', 'salt and pepper']","['2 zucchini, sliced ', '2 small yellow squash, sliced ', '2 -3 can diced tomatoes', '1 onion, chopped ', '4 clove garlic, crushed ', '1 green bell pepper, chopped ', '2 teaspoon italian seasoning', '1 cup water or 1 cup vegetable broth', ' salt and pepper']"
232047,"['beef stew meat', 'flour', 'salt', 'allspice', 'cinnamon', 'black pepper', 'vegetable oil', 'onions', 'dried sour cherries', 'sugar', 'water', 'dry red wine', 'beef stock', 'mushroom']","['3 lb beef stew meat', '3 tablespoon flour', '1 teaspoon salt', '1/2 teaspoon allspice', '1/2 teaspoon cinnamon', '1/2 teaspoon black pepper', '1 tablespoon vegetable oil', '3 cup onions, thinly sliced ', '1 cup dried sour cherries', '2 tablespoon sugar', '2 tablespoon water', '1 cup dry red wine', '1 cup beef stock', '1 lb mushroom, quartered ']"
232050,"['slivered almonds', 'cider vinegar', 'sugar', 'sugar', 'salt', 'ground cumin', 'ground coriander', 'cayenne pepper']","['12 ounce slivered almonds', '1/4 cup cider vinegar', '2 cup sugar', '1 tablespoon sugar', '2 teaspoon salt', '2 teaspoon ground cumin', '1 teaspoon ground coriander', '3/4 teaspoon cayenne pepper']"
232076,"['chicken breasts', 'green onion', 'red bell pepper', 'parsley', 'mayonnaise', 'sour cream', 'lemon juice', 'dijon mustard', 'salt 26 pepper', 'cheddar cheese', 'potato chips']","['4 cup roasted chopped chicken breasts', '1/4 cup chopped green onion', '1/4 cup chopped red bell pepper', '2 tablespoon minced parsley', '1/2 cup mayonnaise', '1/4 cup sour cream', '2 tablespoon lemon juice', '2 teaspoon dijon mustard', ' salt & pepper, to taste ', '8 ounce shredded cheddar cheese', '10 ounce potato chips, crushed ']"
232083,"['eggs', 'milk', 'fresh sage', 'fresh thyme', 'garlic cloves', 'pecorino cheese', 'asparagus', 'extra virgin olive oil']","['8 eggs', '1/2 cup milk', '1 tablespoon fresh sage, roughly chopped ', '1 teaspoon fresh thyme, chopped ', '2 garlic cloves, chopped ', '1/4 cup pecorino cheese, grated ', '24 stalk asparagus', '2 tablespoon extra virgin olive oil']"
79222,"['butter', 'onion', 'garlic', 'potatoes', 'flour', 'milk', 'black pepper', 'nutmeg', 'creamed corn', 'low sodium chicken broth', 'lump crabmeat', 'cayenne pepper', 'parsley']","['2 tablespoon butter', '1 medium onion', '2 tablespoon minced garlic', '3 cup potatoes, skin on, 1 inch cubed ', '3 tablespoon flour', '2 cup milk', '1/2 teaspoon black pepper', '1/4 teaspoon nutmeg', '1 can creamed corn', '1 can low sodium chicken broth', '1 can lump crabmeat', '1 dash cayenne pepper', '1 pinch parsley']"
393638,"['lean ground beef', 'ketchup', 'heinz chili sauce', 'white vinegar', 'sugar', 'prepared yellow mustard', 'onion powder']","['1 lb lean ground beef', '1/2 cup ketchup', '2 tablespoon heinz chili sauce', '1 teaspoon white vinegar', '1 teaspoon sugar', '1 teaspoon prepared yellow mustard', '1/2 teaspoon onion powder']"
232086,"['butter', 'granulated sugar', 'baking powder', 'salt', 'vanilla extract', 'eggs', 'milk', 'whole wheat flour', 'chocolate chips', 'decorator sugar']","['1/2 cup butter', '1 cup granulated sugar', '2 teaspoon baking powder', '1/2 teaspoon salt', '1 teaspoon vanilla extract', '2 large eggs', '1/2 cup milk', '2 cup whole wheat flour', '2 cup chocolate chips', ' coarse decorator sugar, for topping ']"
232088,"['all-purpose flour', 'baking soda', 'nutmeg', 'margarine', 'sugar', 'dark brown sugar', 'egg', 'egg white', 'vanilla', 'potato chips', 'semi-sweet chocolate chips']","['1 3/4 cup all-purpose flour', '1/2 teaspoon baking soda', '1/2 teaspoon grated nutmeg', '1/2 lb cool margarine, cut into small piece ', '1 cup sugar', '3/4 cup packed dark brown sugar', '1 large egg, room temperature ', '1 large egg white, room temperature ', '2 teaspoon vanilla', '4 ounce potato chips, crushed ', '3 cup semi-sweet chocolate chip or 3 cup bittersweet chocolate chips']"
