,recipeID,ingredient_and_quantity,ingredient_gt
0,1,4 tbsps gochujang,gochujang base
1,1,6 tbsps ketchup,ketchup
2,1,6 tbsps maple syrup,maple syrup
3,1,4 tbsps soy sauce,soy sauce
4,1,2 tbsps rice wine vinegar,seasoned rice wine vinegar
5,1,1 tsp brown sugar,sugar
6,1,2 tsp sesame oil,sesame oil
7,1,50ml water,water
8,1,2cm knob of ginger,ginger
9,1,4 cloves of garlic,garlic
10,1,800g skinless boneless chicken thigh fillets,chicken thigh
11,1,2 eggs,eggs
12,1,120g corn flour,corn flour
13,1,40g plain flour,flour
14,1,1 tsp baking soda,soda
15,1,2 tsps garlic powder,garlic powder
16,1,2 tsps onion salt,onion salt
17,1,1⁄2 spring onion,spring onion
18,1,1 tsp toasted white/black sesame seeds,white sesame seeds
19,1,4 tbsps mayo,mayonnaise
20,1,salt,salt
21,1,pepper,pepper
22,1,1l vegetable oil,vegetable oil
23,2,500g asparagus,asparagus
24,2,300g butter,butter
25,2,4 egg yolks,egg
26,2,4 slices of sourdough,sourdough
27,2,2 tsp white wine vinegar,wine vinegar
28,2,4 eggs,eggs
29,2,salt,salt
30,3,320g puff pastry ,puff pastry
31,3,300g jersey royal baby new potatoes,potatoes
32,3,2 leeks,leeks
33,3,4 garlic cloves,garlic
34,3,200g oatly creamy oat fraiche,oat fraiche
35,3,50g non-dairy milk,milk
36,3,1 pinch of nutmeg/1 fresh nutmeg seed,nutmeg
37,3,55g rocket,rocket
38,3,1 lemon,lemon
39,3,60g extra virgin olive oil,virgin olive oil
40,3,50g pine nuts,pine nuts
41,3,100g purple chicory,chicory
42,4,4 rashers smoked streaky bacon,streaky bacon
43,4,4 spring onions,spring onions
44,4,1 red chilli,chilli
45,4,1 carrot,carrot
46,4,200g watercress,watercress
47,4,400g minced pork,minced pork
48,4,5 cloves of garlic,garlic
49,4,3cm knob of ginger,ginger
50,4,2 eggs,eggs
51,4,1 tbsp cornflour,cornflour
52,4,2 tbsp soy sauce,soy sauce
53,4,2 tsp fish sauce,fish sauce
54,4,12 sheets of rice paper,rice paper
55,4,salt,salt
56,4,vegetable oil,vegetable oil
57,4,"sweet chilli sauce, to serve",chilli sauce
58,5,500g pork belly slices,pork belly
59,5,3 tbsp maple syrup,maple syrup
60,5,3 tbsp cider vinegar,cider vinegar
61,5,1 tbsp crushed black pepper,pepper
62,5,500g salad potatoes,charlotte potato
63,5,3 tbsp wholegrain mustard,wholegrain mustard
64,5,4 tbsp mayo,mayonnaise
65,5,1 bunch of spring onions,spring onions
66,5,1 apple,apple
67,5,handful of curly parsley,parsley
68,5,salt,salt
69,5,pepper,pepper
70,6,5 garlic bulbs,garlic
71,6,5 lemons,lemon
72,6,5 red chillies,chillies
73,6,400g orzo,orzo
74,6,"100g parmesan, plus more for sprinkling",parmesan
75,6,salt,salt
76,6,pepper,pepper
77,6,olive oil,olive oil
78,7,600g udon,udon
79,7,4 eggs ,eggs
80,7,3 large cloves of garlic,garlic
81,7,1 banana shallot,banana shallots
82,7,150g unsalted butter,butter
83,7,1 1⁄2 tbsp red miso,miso
84,7,1⁄2 lemon,lemon
85,7,30g parmesan,parmesan
86,7,1 sheet of nori,nori
87,7,salt,salt
88,7,pepper,pepper
89,8,4 chicken breasts,chicken breasts
90,8,450g plain yoghurt,yoghurt
91,8,1 1⁄2 tsp ground cardamom,cardamom
92,8,1 large onion,onion
93,8,4 cloves of garlic,garlic
94,8,3cm knob of ginger,ginger
95,8,1 cinnamon stick,cinnamon
96,8,1 tsp ground cumin,cumin
97,8,1 tsp ground coriander,coriander
98,8,1⁄2 tsp turmeric,turmeric
99,8,1⁄2 tsp tomato puree,tomato puree
100,8,1⁄2 tsp chilli powder,chilli powder
101,8,70g ground almonds,almonds
102,8,30g flaked almonds,flaked almonds
103,8,1 tbsp mango chutney,mango chutney
104,8,handful of coriander,coriander
105,8,salt,salt
106,8,vegetable oil,vegetable oil
107,9,400g tilda long grain rice,grain rice
108,9,2 spring onions,spring onions
109,9,3cm knob of ginger,ginger
110,9,3 cloves of garlic,garlic
111,9,2 tsps sichuan peppercorns,sichuan pepper
112,9,500g medium tofu,tofu
113,9,250g pork mince,pork mince
114,9,3 tsps sugar,sugar
115,9,4 tbsps chilli bean sauce,chilli bean sauce
116,9,1 tbsp shaoxing wine,shaoxing wine
117,9,2 tbsps soy sauce,soy sauce
118,9,500ml chicken stock,chicken stock
119,9,3 tbsps cornflour,cornflour
120,9,1 tbsp chilli oil,chilli oil
121,9,1 tsp sesame oil,sesame oil
122,9,salt,salt
123,9,vegetable oil,vegetable oil
124,10,4 bulbs of garlic,garlic
125,10,4 slices sourdough,sourdough
126,10,200g goat's cheese,goat cheese
127,10,bunch of chives,chives
128,10,300ml sunflower oil,sunflower oil
129,10,2 tbsp honey,honey
130,10,salt,salt
131,10,pepper,pepper
132,11,3 romano peppers,romano peppers
133,11,1 red onion,onion
134,11,10 garlic cloves,garlic
135,11,300g chestnut mushrooms,chestnut mushrooms
136,11,80g walnuts,walnuts
137,11,15g raisins,raisins
138,11,2 tsp tomato paste,tomato paste
139,11,1 tsp ras el hanout,ras el hanout
140,11,1 tsp ground cumin,cumin
141,11,1⁄2 tsp smoked paprika,paprika
142,11,3 tbsp moscatel vinegar ,moscatel vinegar or sherry vinegar
143,11,125g cooked lentils ,lentils
144,11,40g coriander,coriander
145,11,1 large jalapeno,jalapeno
146,11,1⁄2 tsp ground cardamom,cardamom
