recipeID,ingredient_and_quantity,ingredient_gt
1,4 tbsps gochujang,gochujang base
1,6 tbsps ketchup,ketchup
1,6 tbsps maple syrup,maple syrup
1,4 tbsps soy sauce,soy sauce
1,2 tbsps rice wine vinegar,seasoned rice wine vinegar
1,1 tsp brown sugar,sugar
1,2 tsp sesame oil,sesame oil
1,50ml water,water
1,2cm knob of ginger,ginger
1,4 cloves of garlic,garlic
1,800g skinless boneless chicken thigh fillets,chicken thigh
1,2 eggs,eggs
1,120g corn flour,corn flour
1,40g plain flour,flour
1,1 tsp baking soda,soda
1,2 tsps garlic powder,garlic powder
1,2 tsps onion salt,onion salt
1,½ spring onion,spring onion
1,1 tsp toasted white/black sesame seeds,white sesame seeds
1,4 tbsps mayo,mayonnaise
1,salt,salt
1,pepper,pepper
1,1l vegetable oil,vegetable oil
2,500g asparagus,asparagus
2,300g butter,butter
2,4 egg yolks,egg
2,4 slices of sourdough,sourdough
2,2 tsp white wine vinegar,wine vinegar
2,4 eggs,eggs
2,salt,salt
3,320g puff pastry (i used jus roll sheets),puff pastry
3,300g jersey royal baby new potatoes,potatoes
3,2 leeks,leeks
3,4 garlic cloves,garlic
3,200g oatly creamy oat fraiche,oat fraiche
3,50g non-dairy milk,milk
3,1 pinch of nutmeg/1 fresh nutmeg seed,nutmeg
3,55g rocket,rocket
3,1 lemon,lemon
3,60g extra virgin olive oil,virgin olive oil
3,50g pine nuts,pine nuts
3,100g purple chicory,chicory
4,4 rashers smoked streaky bacon,streaky bacon
4,4 spring onions,spring onions
4,1 red chilli,chilli
4,1 carrot,carrot
4,200g watercress,watercress
4,400g minced pork,minced pork
4,5 cloves of garlic,garlic
4,3cm knob of ginger,ginger
4,2 eggs,eggs
4,1 tbsp cornflour,cornflour
4,2 tbsp soy sauce,soy sauce
4,2 tsp fish sauce,fish sauce
4,12 sheets of rice paper,rice paper
4,salt,salt
4,vegetable oil,vegetable oil
4,"sweet chilli sauce, to serve",chilli sauce
5,500g pork belly slices,pork belly
5,3 tbsp maple syrup,maple syrup
5,3 tbsp cider vinegar,cider vinegar
5,1 tbsp crushed black pepper,pepper
5,500g salad potatoes,charlotte potato
5,3 tbsp wholegrain mustard,wholegrain mustard
5,4 tbsp mayo,mayonnaise
5,1 bunch of spring onions,spring onions
5,1 apple,apple
5,handful of curly parsley,parsley
5,salt,salt
5,pepper,pepper
6,5 garlic bulbs,garlic
6,5 lemons,lemon
6,5 red chillies,chillies
6,400g orzo,orzo
6,"100g parmesan, plus more for sprinkling",parmesan
6,salt,salt
6,pepper,pepper
6,olive oil,olive oil
7,600g udon,udon
7,4 eggs (we like clarence court burford browns),eggs
7,3 large cloves of garlic,garlic
7,1 banana shallot,banana shallots
7,150g unsalted butter,butter
7,1 ½ tbsp red miso,miso
7,½ lemon,lemon
7,30g parmesan,parmesan
7,1 sheet of nori,nori
7,salt,salt
7,pepper,pepper
8,4 chicken breasts,chicken breasts
8,450g plain yoghurt,yoghurt
8,1 ½ tsp ground cardamom,cardamom
8,1 large onion,onion
8,4 cloves of garlic,garlic
8,3cm knob of ginger,ginger
8,1 cinnamon stick,cinnamon
8,1 tsp ground cumin,cumin
8,1 tsp ground coriander,coriander
8,½ tsp turmeric,turmeric
8,½ tsp tomato purée,tomato puree
8,½ tsp chilli powder,chilli powder
8,70g ground almonds,almonds
8,30g flaked almonds,flaked almonds
8,1 tbsp mango chutney,mango chutney
